observation_month,brand,lta_make,trailing_12m_start,trailing_12m_end,brand_registrations,all_make_registrations,market_share_weight,source_url
2025-04,Kia,KIA,2024-04,2025-03,1319.0,45774.0,0.028815484773015248,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Lexus,TOYOTA,2024-04,2025-03,7955.0,45774.0,0.17378861362345435,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,MG,M.G.,2024-04,2025-03,465.0,45774.0,0.010158605321798402,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Mazda,MAZDA,2024-04,2025-03,1263.0,45774.0,0.027592082841787914,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Mercedes-Benz,MERCEDES BENZ,2024-04,2025-03,5256.0,45774.0,0.11482500983090838,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Nissan,NISSAN,2024-04,2025-03,1457.0,45774.0,0.031830296674968325,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Omoda,CHERY,2024-04,2025-03,206.0,45774.0,0.00450037138987198,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Porsche,PORSCHE,2024-04,2025-03,687.0,45774.0,0.015008520120592476,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Suzuki,SUZUKI,2024-04,2025-03,323.0,45774.0,0.007056407567614803,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Tesla,TESLA,2024-04,2025-03,2449.0,45774.0,0.05350198802813824,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Toyota,TOYOTA,2024-04,2025-03,7955.0,45774.0,0.17378861362345435,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,Volvo,VOLVO,2024-04,2025-03,602.0,45774.0,0.013151570760693844,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,XPENG,XPENG,2024-04,2025-03,526.0,45774.0,0.01149123956831389,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-04,ZEEKR,ZEEKR,2024-04,2025-03,162.0,45774.0,0.003539127015336217,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Aion,GAC,2024-05,2025-04,570.0,46271.0,0.01231873095459359,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Audi,AUDI,2024-05,2025-04,529.0,46271.0,0.011432646798210542,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,BMW,B.M.W.,2024-05,2025-04,5113.0,46271.0,0.11050117784357373,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,BYD,BYD,2024-05,2025-04,7389.0,46271.0,0.159689654427179,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Dongfeng,DONGFENG,2024-05,2025-04,140.0,46271.0,0.003025653216917724,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,GAC,GAC,2024-05,2025-04,570.0,46271.0,0.01231873095459359,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Honda,HONDA,2024-05,2025-04,4537.0,46271.0,0.09805277603682652,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Hyundai,HYUNDAI,2024-05,2025-04,1981.0,46271.0,0.04281299301938579,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Jaecoo,CHERY,2024-05,2025-04,235.0,46271.0,0.005078775042683322,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Kia,KIA,2024-05,2025-04,1262.0,46271.0,0.027274102569644052,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Lexus,TOYOTA,2024-05,2025-04,7927.0,46271.0,0.17131680750361997,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,MG,M.G.,2024-05,2025-04,444.0,46271.0,0.009595643059367638,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Mazda,MAZDA,2024-05,2025-04,1283.0,46271.0,0.02772795055218171,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Mercedes-Benz,MERCEDES BENZ,2024-05,2025-04,5232.0,46271.0,0.1130729830779538,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Nissan,NISSAN,2024-05,2025-04,1509.0,46271.0,0.03261221931663461,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Omoda,CHERY,2024-05,2025-04,235.0,46271.0,0.005078775042683322,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Porsche,PORSCHE,2024-05,2025-04,697.0,46271.0,0.01506343065851181,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Suzuki,SUZUKI,2024-05,2025-04,308.0,46271.0,0.006656437077218993,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Tesla,TESLA,2024-05,2025-04,2466.0,46271.0,0.05329472023513648,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Toyota,TOYOTA,2024-05,2025-04,7927.0,46271.0,0.17131680750361997,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,Volvo,VOLVO,2024-05,2025-04,601.0,46271.0,0.012988697024053943,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,XPENG,XPENG,2024-05,2025-04,596.0,46271.0,0.012880637980592595,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-05,ZEEKR,ZEEKR,2024-05,2025-04,176.0,46271.0,0.0038036783298394244,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Aion,GAC,2024-06,2025-05,648.0,47538.0,0.013631200302915562,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Audi,AUDI,2024-06,2025-05,560.0,47538.0,0.01178004964449493,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,BMW,B.M.W.,2024-06,2025-05,5240.0,47538.0,0.11022760738777398,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,BYD,BYD,2024-06,2025-05,7834.0,47538.0,0.16479448020530943,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Dongfeng,DONGFENG,2024-06,2025-05,155.0,47538.0,0.003260549455172704,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,GAC,GAC,2024-06,2025-05,648.0,47538.0,0.013631200302915562,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Honda,HONDA,2024-06,2025-05,4640.0,47538.0,0.09760612562581514,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Hyundai,HYUNDAI,2024-06,2025-05,1949.0,47538.0,0.04099877992342968,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Jaecoo,CHERY,2024-06,2025-05,275.0,47538.0,0.005784845807564475,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Kia,KIA,2024-06,2025-05,1236.0,47538.0,0.02600025242963524,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Lexus,TOYOTA,2024-06,2025-05,8029.0,47538.0,0.16889646177794607,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,MG,M.G.,2024-06,2025-05,451.0,47538.0,0.009487147124405739,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Mazda,MAZDA,2024-06,2025-05,1289.0,47538.0,0.02711514998527494,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Mercedes-Benz,MERCEDES BENZ,2024-06,2025-05,5231.0,47538.0,0.1100382851613446,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Nissan,NISSAN,2024-06,2025-05,1491.0,47538.0,0.03136438217846775,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Omoda,CHERY,2024-06,2025-05,275.0,47538.0,0.005784845807564475,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Porsche,PORSCHE,2024-06,2025-05,713.0,47538.0,0.014998527493794439,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Suzuki,SUZUKI,2024-06,2025-05,302.0,47538.0,0.0063528124868526235,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Tesla,TESLA,2024-06,2025-05,2670.0,47538.0,0.0561655938407169,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Toyota,TOYOTA,2024-06,2025-05,8029.0,47538.0,0.16889646177794607,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,Volvo,VOLVO,2024-06,2025-05,584.0,47538.0,0.012284908914973285,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,XPENG,XPENG,2024-06,2025-05,666.0,47538.0,0.014009844755774327,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-06,ZEEKR,ZEEKR,2024-06,2025-05,188.0,47538.0,0.003954730952080441,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Aion,GAC,2024-07,2025-06,730.0,48403.0,0.015081709811375328,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Audi,AUDI,2024-07,2025-06,568.0,48403.0,0.011734809825837241,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,BMW,B.M.W.,2024-07,2025-06,5212.0,48403.0,0.10767927607792906,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,BYD,BYD,2024-07,2025-06,8271.0,48403.0,0.17087783815052787,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Dongfeng,DONGFENG,2024-07,2025-06,184.0,48403.0,0.0038014172675247403,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,GAC,GAC,2024-07,2025-06,730.0,48403.0,0.015081709811375328,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Honda,HONDA,2024-07,2025-06,4653.0,48403.0,0.09613040514017726,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Hyundai,HYUNDAI,2024-07,2025-06,1857.0,48403.0,0.03836539057496436,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Jaecoo,CHERY,2024-07,2025-06,293.0,48403.0,0.00605334380100407,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Kia,KIA,2024-07,2025-06,1231.0,48403.0,0.02543230791479867,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Lexus,TOYOTA,2024-07,2025-06,8172.0,48403.0,0.16883251038158792,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,MG,M.G.,2024-07,2025-06,517.0,48403.0,0.010681156126686362,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Mazda,MAZDA,2024-07,2025-06,1270.0,48403.0,0.026238043096502284,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Mercedes-Benz,MERCEDES BENZ,2024-07,2025-06,5175.0,48403.0,0.10691486064913332,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Nissan,NISSAN,2024-07,2025-06,1481.0,48403.0,0.03059727702828337,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Omoda,CHERY,2024-07,2025-06,293.0,48403.0,0.00605334380100407,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Porsche,PORSCHE,2024-07,2025-06,745.0,48403.0,0.01539160795818441,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Suzuki,SUZUKI,2024-07,2025-06,327.0,48403.0,0.006755779600437989,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Tesla,TESLA,2024-07,2025-06,2834.0,48403.0,0.05855008987046258,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Toyota,TOYOTA,2024-07,2025-06,8172.0,48403.0,0.16883251038158792,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,Volvo,VOLVO,2024-07,2025-06,560.0,48403.0,0.01156953081420573,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,XPENG,XPENG,2024-07,2025-06,712.0,48403.0,0.014709832035204429,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-07,ZEEKR,ZEEKR,2024-07,2025-06,216.0,48403.0,0.004462533314050782,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-08,Aion,GAC,2024-08,2025-07,745.0,49112.0,0.015169408698485095,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-08,Audi,AUDI,2024-08,2025-07,583.0,49112.0,0.011870825867405115,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-08,BMW,B.M.W.,2024-08,2025-07,5256.0,49112.0,0.1070206874083727,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-08,BYD,BYD,2024-08,2025-07,8633.0,49112.0,0.17578188630070044,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-08,Dongfeng,DONGFENG,2024-08,2025-07,191.0,49112.0,0.003889069881088125,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
2025-08,GAC,GAC,2024-08,2025-07,745.0,49112.0,0.015169408698485095,https://datamall.lta.gov.sg/content/datamall/en/static-data.html
